î‘çÜ,ínì_ñº,1953,rm,1954,rm,1955,rm,1956,rm,1957,rm,1958,rm,1959,rm,1960,rm,1961,rm,1962,rm,1963,rm,1964,rm,1965,rm,1966,rm,1967,rm,1968,rm,1969,rm,1970,rm,1971,rm,1972,rm,1973,rm,1974,rm,1975,rm
607,ïxéR,408,8,411,8,415,8,403,8,409,8,410,8,402,8,409,8,420,8,410,8,411,8,405,8,414,8,329,8,401,8,410,8,404,8,411,8,411,8,407,8,,,,,,
610,í∑ñÏ,415,8,415,8,420,8,408,8,418,8,417,8,413,8,413,8,426,8,413,8,420,8,409,8,420,8,406,8,407,8,412,8,409,8,418,8,415,8,417,8,,,,,,
612,çÇìc,413,8,412,8,415,8,331,8,413,8,414,8,406,8,410,8,425,8,412,8,416,8,406,8,414,8,331,8,401,8,410,8,405,8,411,8,410,8,408,8,,,,,,
615,âFìsã{,401,8,401,8,410,8,329,8,407,8,406,8,401,8,407,8,418,8,406,8,411,8,331,8,407,8,327,8,325,8,404,8,330,8,402,8,404,8,404,8,,,,,,
616,ïüà‰,402,8,410,8,412,8,331,8,408,8,409,8,401,8,407,8,417,8,408,8,410,9,404,9,412,9,328,9,327,9,406,9,401,9,404,9,407,9,405,9,,,,,,
617,çÇéR,415,8,415,8,424,8,409,8,419,8,423,8,417,8,414,8,428,8,415,8,421,8,415,8,422,8,409,8,409,8,415,8,410,8,421,8,418,8,418,8,,,,,,
618,èºñ{,414,8,413,8,418,8,406,8,414,8,414,8,410,8,412,8,424,8,414,8,418,8,408,8,419,8,404,8,404,8,410,8,406,8,414,8,414,8,414,8,,,,,,
624,ëOã¥,329,8,328,8,410,8,328,8,405,8,330,8,327,8,405,8,415,8,405,8,408,8,326,8,405,8,326,8,324,8,331,8,326,8,327,8,402,8,405,8,,,,,,
626,åFíJ,330,8,328,8,408,8,327,8,405,8,330,8,328,8,404,8,414,8,404,8,406,9,325,9,404,8,326,8,322,8,329,8,322,8,325,8,401,9,402,9,,,,,,
629,êÖåÀ,405,8,405,8,411,8,329,8,409,8,408,8,401,8,407,8,420,8,407,8,410,9,328,9,406,9,327,9,325,9,405,9,331,9,402,9,405,9,405,9,,,,,,
631,ì÷âÍ,330,8,406,8,410,8,330,8,406,8,408,8,330,8,407,8,417,8,407,8,409,9,402,9,412,9,324,9,325,9,404,9,329,9,402,9,405,9,404,9,,,,,,
632,äÚïå,326,8,328,8,406,8,329,8,401,8,330,8,323,8,402,8,412,8,329,8,401,9,326,9,403,9,316,9,317,9,328,9,324,9,327,9,331,9,327,9,,,,,,
636,ñºå√âÆ,325,8,326,8,405,8,327,8,330,8,328,8,323,8,331,8,411,8,328,8,401,8,325,8,403,8,317,8,317,8,328,8,321,8,326,8,331,8,327,8,,,,,,
637,î—ìc,401,8,405,8,414,8,401,8,408,8,408,8,401,8,409,8,419,8,406,8,412,8,405,8,414,8,329,8,328,8,405,8,330,8,403,8,406,8,406,8,,,,,,
638,çbï{,326,8,325,8,407,8,327,8,401,8,329,8,327,8,404,8,412,8,330,8,404,8,326,8,404,8,325,8,320,8,329,8,324,8,326,8,401,8,331,8,,,,,,
648,í∂éq,326,8,326,8,408,8,326,8,405,8,402,8,326,8,405,8,416,8,403,8,408,9,325,9,403,9,320,9,321,9,401,9,328,9,404,9,404,9,402,9,,,,,,
651,í√,331,8,331,8,409,8,330,8,403,8,328,8,324,8,403,8,412,8,330,8,403,9,325,9,405,9,325,9,322,9,401,9,328,9,402,9,403,9,403,9,,,,,,
654,ïlèº,320,8,322,8,403,8,325,8,331,8,326,8,323,8,401,8,406,8,327,8,330,8,325,8,403,8,321,8,317,8,330,8,326,8,331,8,403,8,331,8,,,,,,
656,ê√â™,323,8,322,8,406,8,329,8,331,8,326,8,323,8,403,8,406,8,328,8,330,8,326,8,403,8,321,8,320,8,331,8,324,8,330,8,402,8,401,8,,,,,,
î‘çÜ,ínì_ñº,1976,rm,1977,rm,1978,rm,1979,rm,1980,rm,1981,rm,1982,rm,1983,rm,1984,rm,1985,rm,1986,rm,1987,rm,1988,rm,1989,rm,1990,rm,1991,rm,1992,rm,1993,rm,1994,rm,1995,rm,,,,,,
662,ìåãû,322,8,322,8,331,8,323,8,331,8,326,8,323,8,331,8,411,8,403,8,403,9,323,9,402,9,320,9,320,9,330,9,324,9,324,9,331,9,331,9,,,,,,
663,îˆòh,326,8,324,8,405,8,331,8,330,8,326,8,323,8,403,8,405,8,329,8,330,9,328,9,330,9,317,9,320,9,329,9,325,9,327,9,402,9,331,9,,,,,,
670,â°ïl,325,8,325,8,405,8,324,8,401,8,327,8,323,8,402,8,410,8,401,8,402,9,321,9,402,9,321,9,318,9,329,9,323,9,324,9,401,9,331,9,,,,,,
672,äŸéR,323,8,323,8,407,8,331,8,406,8,401,8,325,8,406,8,409,8,403,8,331,8,325,8,405,8,325,8,320,8,403,8,327,8,402,8,403,8,405,8,,,,,,
675,ëÂìá,329,8,326,8,404,8,330,8,403,8,329,8,324,8,403,8,407,8,403,8,401,9,329,9,405,9,322,9,320,9,327,9,326,9,401,9,403,9,401,9,,,,,,
677,éOëÓìá,325,8,320,8,404,8,331,8,331,8,326,8,326,8,402,8,404,8,325,8,329,9,330,9,404,9,316,9,320,9,328,9,331,9,401,9,403,9,405,9,,,,,,
678,î™è‰ìá,326,8,326,8,408,8,415,8,404,8,325,8,329,8,406,8,402,8,328,8,327,9,409,9,403,9,329,9,330,9,403,9,330,9,409,9,404,9,402,9,,,,,,
740,êºãΩ,403,8,403,8,408,8,401,8,408,8,405,8,401,8,407,8,417,8,407,8,409,8,331,8,411,9,330,8,327,8,409,8,331,8,402,8,407,8,406,8,,,,,,
741,èºç],402,8,401,8,408,8,331,8,403,8,404,8,330,8,406,8,413,8,405,8,407,8,330,8,410,8,328,8,324,8,407,8,330,8,401,8,405,8,403,8,,,,,,
744,ïƒéq,331,8,331,8,408,8,331,8,405,8,403,8,330,8,405,8,414,8,404,8,408,8,330,8,411,8,329,8,324,8,405,8,331,8,401,8,405,8,404,8,,,,,,
746,íπéÊ,331,8,402,8,408,8,330,8,405,8,331,8,330,8,406,8,413,8,404,8,407,9,329,9,411,9,329,9,324,9,405,9,331,9,401,9,405,9,404,9,,,,,,
747,ñLâ™,403,8,407,8,410,8,330,8,405,8,405,8,331,8,404,8,416,8,408,8,410,8,404,8,413,8,330,8,328,8,406,8,402,8,403,8,406,8,406,8,,,,,,
750,ïëíﬂ,404,8,403,8,410,8,330,8,406,8,405,8,330,8,405,8,416,8,406,8,409,9,404,9,412,9,330,9,326,9,405,9,331,9,403,9,406,9,406,9,,,,,,
755,ïlìc,324,8,325,8,404,8,328,8,401,8,328,8,323,8,404,8,409,8,401,8,403,9,326,9,406,9,326,9,320,9,404,9,326,9,330,9,402,9,331,9,,,,,,
759,ãûìs,329,8,329,8,408,8,331,8,405,8,330,8,324,8,402,8,409,8,402,8,403,8,327,8,405,8,324,8,321,8,330,8,327,8,328,8,403,8,331,8,,,,,,
761,ïFç™,402,8,405,8,409,8,402,8,406,8,405,8,330,8,406,8,415,8,406,8,409,8,404,8,407,8,330,8,323,8,404,8,331,8,403,8,405,8,401,8,,,,,,
762,â∫ä÷,325,8,326,8,331,8,328,8,402,8,327,8,323,8,331,8,406,8,402,8,402,9,324,9,404,9,322,9,320,9,405,9,327,8,402,8,402,8,401,8,,,,,,
765,çLìá,328,8,326,8,403,8,329,8,401,8,330,8,324,8,404,8,408,8,330,8,402,8,325,8,403,9,325,9,320,9,331,9,327,9,326,9,331,9,329,9,,,,,,
768,â™éR,330,8,330,8,403,8,329,8,402,8,330,8,325,8,404,8,410,8,401,8,403,9,325,9,405,9,326,9,323,9,331,9,330,9,329,9,403,9,401,9,,,,,,
770,ê_åÀ,325,8,326,8,406,8,329,8,403,8,329,8,324,8,401,8,410,8,330,8,403,8,327,8,405,8,325,8,321,8,329,8,327,8,329,8,402,8,331,8,,,,,,
772,ëÂç„,329,8,327,8,404,8,329,8,403,8,328,8,323,8,331,8,410,8,329,8,402,9,325,9,405,9,325,9,321,9,329,9,326,9,329,9,331,9,331,9,,,,,,
776,èFñ{,325,8,326,8,405,8,328,8,402,8,330,8,325,8,404,8,410,8,403,8,405,8,325,8,406,8,319,8,321,8,403,8,326,8,331,8,402,8,404,8,,,,,,
777,òaâÃéR,327,8,323,8,402,8,328,8,402,8,325,8,322,8,402,8,406,8,328,8,402,9,325,9,405,9,320,9,319,9,327,9,325,9,328,9,401,9,328,9,,,,,,
778,í™ñ¶,324,8,321,8,403,8,401,8,401,8,326,8,324,8,402,8,402,8,327,8,330,8,331,8,405,8,320,8,323,8,327,8,328,8,402,8,403,8,331,8,,,,,,
780,ìﬁó«,330,8,330,8,408,8,330,8,404,8,331,8,328,8,404,8,412,8,402,8,404,8,328,8,407,8,325,8,323,8,328,8,326,8,330,8,403,8,401,8,,,,,,
800,åµå¥,328,8,323,8,330,8,328,8,331,8,326,8,322,8,331,8,405,8,329,8,402,9,323,9,402,9,322,9,318,9,403,9,325,9,327,9,401,9,331,9,,,,,,
807,ïüâ™,322,8,323,8,401,8,328,8,330,8,325,8,320,8,331,8,405,8,401,8,329,8,322,8,402,8,317,8,314,8,329,8,322,8,324,8,329,8,327,8,,,,,,
813,ç≤âÍ,321,8,321,8,330,8,326,8,327,8,324,8,319,8,330,8,331,8,329,8,326,8,323,8,402,8,320,8,317,8,329,8,325,8,329,8,329,8,331,8,,,,,,
815,ëÂï™,329,8,323,8,330,8,329,8,329,8,325,8,319,8,401,8,403,8,328,8,330,8,323,8,402,8,320,8,316,8,328,8,326,8,327,8,330,8,327,8,,,,,,
817,í∑çË,317,8,318,8,329,8,325,8,327,8,323,8,319,8,329,8,331,8,329,8,327,8,323,8,401,8,318,8,315,8,327,8,322,8,330,8,330,8,331,8,,,,,,
819,åFñ{,318,8,320,8,329,8,327,8,324,8,323,8,319,8,328,8,331,8,327,8,326,8,324,8,401,8,318,8,317,8,327,8,318,8,327,8,329,8,330,8,,,,,,
822,âÑâ™,320,8,320,8,401,8,330,8,327,8,325,8,321,8,329,8,331,8,327,8,327,8,325,8,402,8,316,8,321,8,327,8,324,8,401,8,330,8,331,8,,,,,,
827,é≠éôìá,325,8,318,8,401,8,330,8,322,8,322,8,319,8,327,8,326,8,326,8,322,8,326,8,403,8,325,8,322,8,324,8,326,8,331,8,329,8,331,9,,,,,,
830,ã{çË,324,8,318,8,330,8,330,8,326,8,324,8,318,8,328,8,328,8,326,8,324,8,324,8,402,8,322,8,319,8,320,8,324,8,402,8,330,8,330,8,,,,,,
836,âÆãvìá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,325,9,-,-,-,-,-,-,-,-,,,,,,
837,éÌéqìá,325,8,319,8,407,8,418,8,330,8,322,8,324,8,329,8,330,8,328,8,324,9,327,9,331,9,322,9,319,9,324,9,327,9,329,9,329,9,331,9,,,,,,
843,ïüç],327,8,320,8,403,8,328,8,329,8,326,8,323,8,331,8,403,8,328,8,330,8,329,8,401,8,322,8,319,8,329,8,322,8,331,8,402,8,401,8,,,,,,
887,èºéR,327,8,324,8,402,8,326,8,330,8,326,8,321,8,401,8,405,8,328,8,331,9,324,9,403,9,321,9,318,9,328,9,325,9,326,9,331,9,330,9,,,,,,
891,çÇèº,328,8,328,8,404,8,329,8,402,8,330,8,324,8,402,8,408,8,331,8,403,9,324,9,405,9,324,9,321,9,329,9,325,9,327,9,402,9,331,9,,,,,,
892,âFòaìá,322,8,320,8,331,8,327,8,328,8,325,8,320,8,330,8,331,8,326,8,327,8,323,8,402,8,315,8,315,8,324,8,323,8,330,9,329,9,327,9,,,,,,
893,çÇím,323,8,320,8,329,8,326,8,326,8,320,8,317,8,329,8,330,8,324,8,325,9,322,9,328,9,315,9,314,9,324,9,325,9,329,9,330,9,328,9,,,,,,
895,ìøìá,327,8,326,8,402,8,329,8,401,8,326,8,323,8,405,8,406,8,401,8,401,8,326,8,405,8,323,8,321,8,329,8,329,8,330,8,402,8,329,8,,,,,,
909,ñºê£,122,6,111,6,127,6,123,6,116,6,121,6,121,6,126,6,127,6,127,6,119,6,116,6,112,6,106,6,114,6,122,6,117,6,118,6,119,6,131,6,,,,,,
912,ó^ìﬂçëìá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,7,202,7,118,7,222,7,,,,,,
917,êºï\ìá,105,6,104,6,126,6,125,6,109,6,127,6,110,6,122,6,117,6,126,6,123,7,121,7,115,7,115,7,118,7,127,7,121,7,114,7,121,7,203,7,,,,,,
918,êŒä_ìá,115,6,120,6,127,6,120,6,110,6,121,6,111,6,118,6,114,6,111,6,114,7,103,4,101,7,1227,7,105,7,124,7,105,6,104,6,115,6,201,6,,,,,,
927,ã{å√ìá,120,6,117,6,201,6,126,6,203,6,128,6,120,6,117,6,121,6,106,6,123,7,116,7,117,7,108,7,111,7,120,7,110,7,106,7,105,7,202,7,,,,,,
929,ãvïƒìá,-,-,-,-,106,6,129,6,125,6,127,6,122,6,130,6,124,6,123,6,115,7,108,7,106,7,1231,7,1231,7,102,7,105,7,107,7,112,7,115,7,,,,,,
936,ìﬂîe,118,6,107,6,117,6,106,6,201,6,124,6,105,6,116,6,123,6,123,6,109,7,123,7,119,7,109,7,121,7,124,7,126,7,123,7,120,7,208,7,,,,,,
940,ñºåÏ,101,6,1223,6,1230,6,1229,6,1224,6,109,6,1230,6,105,6,113,6,122,6,1226,7,109,7,104,7,1231,7,1230,7,107,7,106,7,104,7,110,7,116,7,,,,,,
945,ìÏëÂìåìá,115,6,110,6,-,-,125,6,130,6,122,6,124,6,125,6,119,6,120,6,118,7,121,7,129,7,117,7,116,7,122,7,120,7,104,7,107,7,119,7,,,,,,
î‘çÜ,ínì_ñº,1996,rm,1997,rm,1998,rm,1999,rm,2000,rm,2001,rm,2002,rm,2003,rm,2004,rm,2005,rm,2006,rm,2007,rm,2008,rm,2009,rm,2010,rm,2011,rm,2012,rm,2013,rm,2014,rm,2015,rm,,,,,,
401,ítì‡,520,7,515,7,511,7,514,7,518,7,517,7,429,7,510,7,510,7,523,7,518,7,515,7,502,7,510,7,522,7,519,7,514,7,526,7,511,7,503,7,,,,,,
406,óØñG,520,7,512,7,429,7,514,7,513,7,511,7,426,7,509,7,510,7,520,7,514,7,511,7,429,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
407,àÆêÏ,507,6,505,6,423,6,504,6,509,6,504,6,423,6,502,6,506,6,514,7,510,7,506,7,423,7,503,7,511,7,509,7,502,7,518,7,502,7,427,7,,,,,,
409,ñ‘ëñ,524,7,512,7,428,7,509,7,518,7,512,7,429,7,510,7,512,7,521,7,515,7,512,7,503,7,504,7,517,7,516,7,503,7,525,7,507,7,430,7,,,,,,
412,éDñy,505,9,501,9,423,9,503,9,508,9,429,9,422,9,501,9,505,9,510,9,508,9,504,9,421,9,501,9,507,9,507,9,501,8,513,8,429,8,422,8,,,,,,
413,ä‚å©ëÚ,507,7,503,7,424,7,503,7,509,7,503,7,422,7,502,7,506,7,511,7,509,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
417,ë—çL,508,6,430,6,423,6,503,6,510,6,429,6,424,6,502,6,505,6,504,6,508,6,506,6,426,6,501,6,508,6,503,6,505,6,510,6,427,6,426,6,,,,,,
418,ã˙òH,528,7,519,7,514,7,519,7,517,7,518,7,510,7,522,7,516,7,522,7,518,7,516,7,515,7,510,7,519,7,518,7,517,7,523,7,512,7,506,7,,,,,,
420,ç™é∫,524,6,514,6,514,6,519,6,522,6,516,6,508,6,521,6,514,6,521,6,517,6,516,6,516,6,510,6,518,6,-,-,-,-,-,-,-,-,-,-,,,,,,
423,é∫óñ,513,9,502,9,429,9,508,9,515,9,509,9,423,9,502,9,504,9,510,9,512,9,507,9,425,9,503,9,514,9,506,9,509,9,516,9,429,9,428,9,,,,,,
426,âYâÕ,511,7,505,7,504,7,502,7,508,7,509,7,428,7,510,7,511,7,516,7,511,7,508,7,504,7,505,7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
428,ç]ç∑,505,9,430,9,422,9,428,9,505,9,429,9,418,9,429,9,429,9,503,9,507,9,501,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
430,îüäŸ,504,9,427,9,422,9,427,9,503,9,428,9,418,9,428,9,426,9,501,9,507,9,430,9,422,9,425,9,505,9,502,9,502,9,508,9,428,9,421,9,,,,,,
433,ã‰ímà¿,519,8,509,8,428,8,509,8,512,8,508,8,425,8,504,8,507,8,514,8,515,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
435,ñ‰ï ,527,7,507,7,429,7,512,7,521,7,513,7,428,7,508,7,511,7,521,7,516,7,515,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
440,çLîˆ,513,7,502,7,426,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
520,êVèØ,427,9,424,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
575,ê¬êX,430,9,423,9,416,9,426,9,429,9,423,9,414,9,420,9,418,9,429,9,501,9,425,9,417,9,418,8,428,8,425,8,429,8,429,8,422,8,414,8,,,,,,
581,î™åÀ,428,9,422,9,414,9,422,9,425,9,419,9,413,9,422,9,416,9,427,9,429,9,426,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
582,èHìc,425,9,417,9,413,9,417,9,420,9,412,9,407,9,416,9,412,9,424,9,421,9,418,8,410,8,414,8,424,8,423,8,424,8,423,8,420,8,411,8,,,,,,
584,ê∑â™,428,8,423,8,412,9,420,9,422,9,415,9,411,9,416,9,413,9,423,9,424,9,420,9,412,9,413,9,425,9,420,9,424,9,423,9,413,9,409,9,,,,,,
585,ã{å√,425,8,422,8,414,8,417,8,423,8,415,8,408,8,417,8,410,8,418,8,423,8,421,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
587,éìc,423,9,413,9,410,9,413,9,418,9,411,9,404,9,412,9,409,9,419,9,416,9,412,9,409,9,411,9,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
588,éRå`,424,8,413,8,411,8,414,8,419,8,412,8,403,8,414,8,410,8,419,8,418,8,413,8,412,8,411,8,419,8,418,8,423,8,415,8,414,8,410,8,,,,,,
590,êÂë‰,417,8,408,8,408,8,408,8,413,8,410,8,329,8,409,8,407,8,414,8,413,8,406,8,405,8,407,8,413,8,412,8,418,8,409,8,407,8,403,8,,,,,,
595,ïüìá,415,9,408,9,407,9,405,9,413,9,408,9,329,9,408,9,403,9,411,9,412,9,402,9,406,9,406,9,409,9,412,9,416,9,405,9,408,9,402,9,,,,,,
597,îíâÕ,424,9,410,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
598,è¨ñºïl,408,8,401,8,407,8,402,8,408,8,405,8,325,8,408,8,401,8,410,8,403,8,329,8,330,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
600,ó÷ìá,417,9,407,9,406,9,408,9,413,9,407,9,329,9,408,9,401,9,410,9,412,9,408,8,406,8,406,8,409,8,-,-,-,-,-,-,-,-,-,-,,,,,,
602,ëäêÏ,419,9,411,9,408,9,411,9,413,9,410,9,402,9,410,9,405,9,416,9,412,9,409,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
604,êVäÉ,416,8,407,8,406,8,406,8,412,8,408,8,330,8,406,8,402,8,414,8,411,8,406,8,405,8,407,8,411,8,414,8,416,8,407,9,407,9,402,9,,,,,,
605,ã‡ëÚ,411,9,402,9,331,9,401,9,407,8,402,8,326,8,403,8,328,8,407,8,406,8,329,8,402,8,403,8,401,8,407,8,410,8,330,8,401,8,331,8,,,,,,
607,ïxéR,410,8,401,8,330,8,401,8,410,8,405,8,326,8,404,8,329,8,408,8,407,8,330,8,402,8,330,8,402,8,408,8,412,8,329,8,402,8,401,8,,,,,,
610,í∑ñÏ,423,8,411,8,410,8,410,8,418,8,410,8,402,8,415,8,406,8,414,8,415,8,407,8,410,8,408,8,409,8,415,8,418,8,406,8,411,8,404,8,,,,,,
612,çÇìc,415,8,406,8,404,8,405,8,410,8,407,8,330,8,407,8,330,8,410,8,412,8,402,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
615,âFìsã{,406,8,330,8,330,8,326,8,405,8,328,8,318,8,331,8,327,8,406,8,329,8,326,8,328,8,326,8,402,8,406,8,408,8,321,8,329,8,330,8,,,,,,
616,ïüà‰,407,8,330,8,329,8,326,8,408,8,402,8,326,8,402,8,329,8,407,8,405,8,329,8,402,8,326,8,402,8,407,8,410,8,328,8,331,8,331,8,,,,,,
617,çÇéR,425,8,414,8,410,8,413,8,421,8,412,8,405,8,417,8,410,8,417,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
618,èºñ{,419,8,405,8,408,8,405,8,413,8,408,8,330,8,413,8,402,8,409,8,412,8,401,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
624,ëOã¥,404,8,328,8,329,8,326,8,404,8,326,8,320,8,331,8,326,8,406,8,328,8,328,8,326,8,330,8,401,8,403,8,408,8,322,8,329,8,328,8,,,,,,
626,åFíJ,401,9,326,9,328,9,327,9,331,9,325,9,317,9,328,9,323,9,404,9,327,9,323,9,325,9,325,9,331,9,401,9,404,9,319,9,328,9,327,9,,,,,,
629,êÖåÀ,407,9,329,9,331,9,329,9,403,9,330,9,320,9,401,9,327,9,406,9,330,9,324,9,327,9,327,9,402,9,406,9,406,9,321,9,329,9,330,9,,,,,,
631,ì÷âÍ,406,9,329,9,329,9,326,9,407,9,401,9,324,9,330,9,328,9,406,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
632,äÚïå,330,9,322,9,322,9,323,9,403,9,325,9,317,9,324,9,324,9,402,9,326,9,323,9,323,9,318,9,320,9,328,9,330,9,321,9,324,9,323,9,,,,,,
636,ñºå√âÆ,329,8,323,8,322,8,324,8,403,8,326,8,319,8,324,8,323,8,331,8,326,8,323,8,322,8,319,8,318,8,327,8,330,8,319,8,324,8,321,8,,,,,,
637,î—ìc,408,8,330,8,330,8,329,8,410,8,406,8,327,8,406,9,402,9,409,8,407,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
638,çbï{,331,8,322,8,326,8,318,8,331,8,325,8,317,8,327,8,324,8,331,8,324,8,321,8,324,8,320,8,320,8,329,8,401,8,319,8,328,8,325,8,,,,,,
648,í∂éq,331,9,330,9,403,9,325,9,404,9,326,9,319,9,328,9,330,9,407,9,325,9,330,9,325,9,401,9,401,9,404,9,402,9,321,9,329,9,330,9,,,,,,
651,í√,405,9,328,9,327,9,327,9,405,9,328,9,321,9,328,9,328,9,403,9,331,9,326,9,327,9,323,9,324,9,401,9,404,9,325,9,327,9,329,9,,,,,,
654,ïlèº,328,8,326,8,324,8,324,8,403,8,326,8,319,8,324,8,327,8,402,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
656,ê√â™,326,8,322,8,321,8,321,8,330,8,323,8,315,8,321,8,318,8,329,8,317,8,324,8,322,8,319,8,317,8,320,8,324,8,317,8,324,8,322,8,,,,,,
î‘çÜ,ínì_ñº,1996,rm,1997,rm,1998,rm,1999,rm,2000,rm,2001,rm,2002,rm,2003,rm,2004,rm,2005,rm,2006,rm,2007,rm,2008,rm,2009,rm,2010,rm,2011,rm,2012,rm,2013,rm,2014,rm,2015,rm,,,,,,
662,ìåãû,331,9,321,9,327,9,324,9,330,9,323,9,316,9,327,9,318,9,331,9,321,9,320,9,322,9,321,9,322,9,328,9,331,9,316,9,325,9,323,9,,,,,,
663,îˆòh,327,9,327,9,326,9,322,9,331,9,326,9,320,9,322,9,328,9,402,9,323,9,323,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
670,â°ïl,329,9,325,9,328,9,324,9,329,9,322,9,315,9,327,9,318,9,402,9,321,9,323,9,323,9,322,9,322,9,330,9,402,9,318,9,325,8,323,8,,,,,,
672,äŸéR,330,8,330,8,331,8,330,8,404,8,325,8,319,8,327,8,330,8,403,8,321,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
675,ëÂìá,328,9,327,9,328,9,322,9,402,9,324,9,317,9,325,9,325,9,329,9,320,9,326,9,324,9,326,9,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
677,éOëÓìá,328,9,324,9,328,9,321,9,404,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
678,î™è‰ìá,323,9,330,9,401,9,326,9,406,9,329,9,328,9,328,9,326,9,408,9,319,9,413,9,330,9,404,9,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
740,êºãΩ,413,8,331,8,330,8,403,8,407,8,402,8,325,8,403,8,328,8,407,8,404,8,328,8,403,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
741,èºç],406,8,328,8,326,8,329,8,402,8,326,8,322,8,331,8,321,8,405,8,328,8,326,8,401,8,322,8,322,8,406,8,406,8,323,8,327,8,329,8,,,,,,
744,ïƒéq,406,8,328,8,327,8,327,8,403,8,325,8,320,8,330,8,321,8,404,8,401,8,325,8,331,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
746,íπéÊ,406,9,328,9,326,9,326,9,405,9,326,9,322,9,331,9,324,9,405,9,401,9,325,9,329,9,322,9,325,9,402,9,403,9,320,9,327,9,328,9,,,,,,
747,ñLâ™,409,8,401,8,328,8,329,8,408,8,328,8,326,8,403,8,328,8,407,8,404,8,326,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
750,ïëíﬂ,409,9,402,9,328,9,331,9,410,9,329,8,325,8,403,8,327,8,407,8,405,8,331,8,402,8,325,8,327,8,405,8,409,8,325,8,-,-,-,-,,,,,,
755,ïlìc,330,9,327,9,323,9,328,9,330,9,324,8,317,8,329,8,321,8,401,8,326,8,325,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
759,ãûìs,331,8,326,8,324,8,325,8,403,8,324,8,318,8,328,8,324,8,402,8,327,8,325,8,324,8,319,8,319,8,328,8,403,9,322,9,327,9,327,9,,,,,,
761,ïFç™,408,8,330,8,329,8,329,8,409,8,401,8,326,8,331,8,328,8,406,8,406,8,330,8,330,8,328,8,401,8,401,8,408,8,330,8,402,8,331,8,,,,,,
762,â∫ä÷,331,8,325,8,326,8,329,8,328,8,326,8,319,8,325,8,323,8,331,8,325,8,323,8,326,8,318,8,320,8,330,8,330,8,319,8,325,8,325,8,,,,,,
765,çLìá,401,9,322,9,320,9,327,9,328,9,323,9,320,9,325,9,319,9,403,9,322,9,322,9,325,9,322,9,320,9,401,9,402,9,322,9,325,9,324,9,,,,,,
768,â™éR,403,9,328,9,327,9,327,9,401,9,326,9,320,9,329,9,325,9,403,9,329,9,326,9,326,9,321,9,322,9,331,9,403,9,324,9,328,9,328,9,,,,,,
770,ê_åÀ,331,8,326,8,324,8,325,8,402,9,325,9,322,9,328,9,326,9,403,9,327,9,330,9,326,9,323,9,320,9,331,9,402,9,321,9,327,9,327,9,,,,,,
